paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_application_cited,code_comments,country_first,comments,recorder_ID
1771,10.1111/1365-2435.13870,2021,Functional Ecology,Research Article,Yes,Yes,"Dataset of the study available from the figshare digital repository at https://figshare.com/s/c43acbb01d493a7f10e5 (https://doi.org/10.6084/m9.figshare.11353637; Üveges et al., 2021).",Yes,Figshare,Yes,Unsure,NA,Yes,Yes,.csv/.tsv,Yes,4,Complete,Yes,NA,Yes,No,Yes,Supplementary materials,No,No,NA,No,Yes,Yes,.pdf,R,No,NA,8,No,Not an R package,NA,NA,Hungary,NA,124
3373,10.1111/1365-2745.12974,2018,Journal of Ecology,Research Article,Yes,Yes,"Code and data deposited in Zenodo: https://doi.org/10.5281/zenodo.1183416 (Wenk, Abramowicz, Westoby, & Falster, 2018).",Yes,Zenodo,Yes,Yes,CC0,Yes,NA,.csv/.tsv;.xls(x),Yes,10,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC0,No,Yes,Yes,native source code,R,Yes,10,9,No,Not an R package,NA,NA,Australia,NA,74
2230,10.1111/1365-2435.14644,2024,Functional Ecology,Research Article,Yes,Yes,"All data and code can be found at https://doi.org/10.5281/zenodo.13314989 (Coblentz et al., 2024).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC BY,No,Yes,Yes,native source code,R,Yes,3,7,No,Not an R package,NA,NA,United States of America,NA,81
1176,10.1111/1365-2745.13292,2019,Journal of Ecology,Research Article,Yes,Yes,"Data associated with this study are deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.dt7bh4b (Rasmussen, Bennett, & Tack, 2019). DNA sequences are deposited at NCBI under BioProjects PRJNA564044 and PRJNA564041.",Yes,Dryad;Other repo/database,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,3,Complete,Yes,"... packages in r v. 3.4.2 (Bates, Maechler, Bolker, & Walker, 2014; Fox & Weisberg, 2011; R Core Team, 2017)

 We used the DADA2 ITS pipeline",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,NA,43
7911,10.1111/2041-210X.13806,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All data supporting the results are publicly available on Zenodo 10.5281/zenodo.5800162 (Parker et al., 2021).",Yes,Zenodo,Yes,Yes,CC0,Yes,Needs specific software or too large,.pdf;.print;.stl;.gh,Quasi-README,5,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Based on computer aided design,89
355,10.1002/2688-8319.12165,2022,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Data are available in Dryad: https://doi.org/10.5061/dryad.nvx0k6dvv (Allen et al., 2022).",Yes,Dryad,Yes,NA,CC0,Yes,Yes,.xls(x),Yes,3,Complete,Yes,"""The outcome variable was the distance between con-secutive capture locations (Euclidian distance in meters) derived fromcollated GPS data and calculated using the R (R Development CoreTeam, 2008) package ‘Geosphere’ (Hijmans et al., 2019). ""

""The Wang statistic is suited to producing unbiasedgroup relatedness estimates from small numbers of genotyped indi-viduals. Both statistics were calculated in eligible social groups usingthe R package ‘Demerelate’ (Kraemer & Gerlach, 2017).""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,146
302,10.1111/1365-2664.14593,2024,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.x69p8czrh (Knott et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,3,Complete,Yes,"Differences in single abiotic parameters between U and D before and after HPP construction were analysed using non-parametric Kruskal-Wallis test and Bonferroni-corrected post-hoc pairwise Mann–Whitney U test for non-normally distributed data or one-way analysis of variance (ANOVA) and post-hoc Tukey HSD test for normally distributed data with the statistics software R (version 4.2.2; R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,NA,78
1261,10.1111/1365-2435.13881,2021,Functional Ecology,Research Article,Yes,Yes,"Code, metadata and empirical data generated and used in this manuscript are available from the Dryad Digital Repository https://doi.org/10.25338/B8N33J (Pan et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,10,Complete,Yes,NA,Yes,Yes,NA,Zenodo,Yes,Yes,MIT,No,NA,NA,notebook,R,No,NA,2,No,Not an R package,NA,NA,United States of America,"In the data availability statement (Code, metadata and empirical data generated and used in this manuscript are available from the Dryad Digital Repository https://doi.org/10.25338/B8N33J (Pan et al., 2021).) the paper claims to have archived the code along with the data but in the archive its absent",105
751,10.1111/2041-210X.13143,2019,Methods in Ecology and Evolution,Application,Yes,Yes,"All data and code are available as r packages in Github repositories (https://github.com/griffithdan/plantspec, and https://github.com/griffithdan/plantspecDB), archived in Zenodo (https://doi.org/10.5281/zenodo.2527623 and 10.5281/zenodo.2527627), and can be installed and loaded directly with R as described above.",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,No,NA,Yes,Yes,.RDS,Yes,6,Complete,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,GPL,Yes,Yes,Yes,native source code;notebook,R,Yes,10,10,Yes,Unable to check,9,no unit testing or CI,United States of America,NA,83
25,10.1111/1365-2435.13410,2019,Functional Ecology,Research Article,Yes,Yes,"All data and code are available at figshare https://doi.org/10.6084/m9.figshare.7528727.v1 (Carter et al., 2019).",Yes,Figshare,"Yes, but DOI not found/incorrect",Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,NA,Yes,Yes,Yes,Figshare,Yes,Yes,CC BY,No,Yes,Yes,native source code,R,No,NA,4,No,Not an R package,NA,NA,United States of America,NA,143
176,10.1111/1365-2656.13796,2022,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are available on FigShare https://doi.org/10.6084/m9.figshare.20415849 (Semmler, 2022).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,7,Complete,Yes,"All models were run in R 3.6.1 (R Core Team, 2019) using the package gamlss (Rigby & Stasinopoulos, 2005), which supports the one-inflated beta distribution.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paraguay;United Kingdom of Great Britain and Northern Ireland;United States of America,NA,40
