Timestamp,1. Paper number,2. DOI of paper (please copy paste to avoid errors),3. Year of publication (on spreadsheet),4. Journal  (on spreadsheet),5. Article type  (on spreadsheet),6. Please paste the text of the Data Availability statement here,7. Does the paper have data?,1. Country of corresponding author  (on spreadsheet),"2. Country of first author. Use their main address on the paper. There may be more than one. We mean the address that is next to their name on the paper, NOT any “current address” that may be added for people who have recently moved institutions.","3. What georegion(s) were any novel data used in the paper collected from? Select all that apply. NOTE THIS MEANS DATA THAT WERE PHYSICALLY COLLECTED IN THESE COUNTRIES, DO NOT INCLUDE THINGS WHERE THE AUTHORS USED A DATASET FROM FRANCE BUT DID NOT ACTUALLY GO TO FRANCE TO COLLECT DATA :)",4. Are any authors (use their main address on the paper) based in the georegion the data were collected from?  Also check the Acknowledgments to see if data labourers from the georegion who are not authors are mentioned there instead.,Any comments about data equity that these Qs don't cover?,1. Are the data mentioned in the Data Availability statement?,2. Are you able to find the data using the link/instructions in the Data Availability statement?,3. Where are the data archived?,4. Does the dataset have a DOI?,5. Can you download the data?,6. Can you open the data?,7. What format are the data in?,8. Does the data have a README/metadata?,9. How useful is the README/metadata? Read the notes in the protocol to help with decisions here. SKIP THIS Q IF NO README EXISTS.,10. How complete is the archived data?,11. Does the data have a license?,"12. If yes, what license?",13. Has the data been cited (excluding the original paper it was archived for)? You can find this information on the Dryad and Figshare landing pages for the dataset on the right hand side. For other repositories it varies. If you can't find out easily just pick Unsure.,"14. If yes, how many times?  Enter number or Unclear",15. Has the data been cited by someone other than the original authors? You can find this by clicking on the citations and looking at the papers that cite the data.,"16. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","17. For any paper(s) citing the data, what georegions are on the authors main addresses (i.e. when doing the work)? Please select all relevant options.",0.1 Does the paper use code?,"0.2 If the paper uses code, and this is NOT archived (i.e. they mention using R or Python but don't provide any scripts) please copy-paste the text from the paper that alerted you to them using code...",0.3 Does the paper have archived code?,1. Is the code archiving described in the Data Availability (or equivalent) statement?,*Please paste the section of the text that refers to the archived code if this is NOT part of the Data Availability Statement*.,2. Are you able to find the code using the link/instructions in the Data Availability (or equivalent) statement?,3. Where are the code archived?,4. Does the code have a DOI?,5. Can you download the code?,6. Can you open the code?,7. What language is the code written in?,8. What format is the code in?,9. Does the code have a README?,10. How useful is the README? See the protocol for help with making decisions about this. SKIP THIS Q IF NO README EXISTS.,11. How well is the code annotated? See the protocol for help with making decisions about this.,12. Does the code have a separate vignette with examples of how the code should be used?,"13. If the code is an R Package, and it was previously available on CRAN/Bioconductor (as stated in the Data Availability statement), is it still available? Check this by trying to install it on the most recent version of R. If you don't know how to do this/can't do this choose ""Unable to check""","14. If the code is a package in another language (e.g. Python) published on PyPI please put the name of the package here and where it has been deposited we will see if it is still available. If you know how to look this up yourself, please do and mention whether it is still available here (Yes/No)",15. Does the code have a CITATION file?,16. Does the code have a license?,"17. If yes, what license?",18. APPLICATION papers only. How many times has the paper been cited? You can find this on the landing page of the paper.,19. Has the code been cited (excluding the original paper it was archived for)? Code = the archived code (not the paper or package).,"20. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","21. Do you have any other comments about the code? For example for those familiar with these processes, does the code use unit test? Doe it have continuous integration? Does it use docker/other containers?",21. Has the code been cited by someone other than the original authors?,"22. If yes, how many times? Enter number or Unclear",1. Did you have any issues recording data for this paper? If yes we will go back and check it for you later.,2. Any other comments about this paper?,2. What date did you do this? (YYYY-MM-DD),...62,...63,...64,...65,...66,...67,recorder_ID
2025/04/29 3:02:33 pm GMT,NA,10.1111/1365-2656.70020,2024,Animal Ecology,Research Article,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Dryad;Zenodo,NA,Yes,Yes,csv,Yes,5,NA,NA,NA,No,NA,No,NA,NA,NA,NA,Yes,Yes,NA,Yes,GitHub,NA,Yes,Yes,R,R;Rmarkdown,Yes,3,NA,NA,Not an R package,NA,NA,Yes,MIT,NA,No,NA,NA,No,NA,NA,NA,NA,North America,USA,natalie.cooper@nhm.ac.uk,NA,NA,NA,148
2025/08/06 3:17:38 pm GMT,NA,https://doi.org/10.1111/1365-2656.70084,2024,Journal of Animal Ecology,Research Article,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No comment,2025-08-06,NA,NA,NA,NA,NA,NA,148
2025/08/06 3:22:39 pm GMT,NA,https://doi.org/10.1111/1365-2656.70080,2024,Journal of Animal Ecology,Research Article,NA,Yes,USA,NA,NA,One or more middle authors,NA,Yes,No,iris.fws.gov,Unsure,No,No,Can't access,Unsure,3,NA,Unsure,NA,Unsure,NA,Unclear,NA,Unclear,NA,NA,Yes,Yes,NA,Yes,iris.fws.gov,Cant access,No,No,NA,NA,NA,NA,NA,NA,Unable to check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'The Amazon CloudFront distribution is configured to block access from your country',2025-08-06,North America (excluding Mexico),NA,NA,Canada,Option 1,NA,148
2025/08/06 3:24:39 pm GMT,NA,https://doi.org/10.1111/1365-2656.70082,2024,Journal of Animal Ecology,Research Article,NA,Yes,USA,NA,NA,First author;Last author,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,4,NA,Yes,CC0,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-06,North America (excluding Mexico),NA,NA,USA,Option 1,NA,148
2025/08/06 3:30:33 pm GMT,NA,https://doi.org/10.1111/1365-2435.70105,2024,Functional Ecology,Research Article,NA,Yes,France,NA,NA,First author;Last author;One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.txt,Yes,3,NA,No,NA,No,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-06,Europe,NA,NA,France,Option 1,NA,148
2025/08/06 3:30:44 pm GMT,NA,https://doi.org/10.1111/1365-2664.70098,2024,Journal of Applied Ecology,Research Article,NA,Yes,"Brazil, Germany",NA,NA,First author;Last author;One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,4,NA,Yes,CC0,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-06,Central/South America/Mexico,NA,NA,Brazil,Option 1,NA,148
2025/08/06 3:32:50 pm GMT,NA,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.70044,2024,Methods in Ecology and Evolution,Research Article,NA,Yes,"Italy, Mexico",NA,NA,Unclear,NA,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv;.nex;.tree,Yes,1,NA,Yes,CC BY,No,NA,No,NA,NA,NA,NA,Yes,Yes,NA,Yes,Zenodo,Yes,Yes,Yes,R (including Rmarkdown),.R,Yes,1,NA,NA,Yes,NA,NA,Yes,CC BY,NA,No,NA,NA,No,NA,NA,Author affiliations were changed and added  3rd July 2025 (Paper was published 29 April 2025),06/08/2025,Unclear,NA,NA,NA,NA,No,148
2025/09/16 1:35:26 pm GMT,1511,10.1111/1365-2656.13319,2020,Journal of Animal Ecology,Research Article,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.z08kprr9n (Bladon et al., 2020).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"All statistical analyses were performed in R version 3.5.3 (R Core Team, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,16/09/2025,NA,NA,NA,NA,NA,NA,148
2025/09/25 2:05:21 pm GMT,4832,http://doi.org/10.1111/1365-2435.13082,2018,Functional Ecology,Research Article,"Data deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.017vp2q (Middleton-Welling et al., 2018).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,3,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0 1.0,Yes,1,Unclear,Unclear,UNCLEAR,Yes,"Kappa and ICC scores were generated using the “irr” package (Gamer, Lemon, Fellows, & Singh, 2012) in r (R Core Development Team, 2017).
Fifty random datasets (null models) were generated in r in order to compare the explanatory power of the different trait sources to randomly assembled trait sets.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-25,NA,NA,NA,NA,NA,NA,148
2025/09/25 5:12:27 pm GMT,NA,Test,2020,Functional Ecology,Research Article,Test,Yes,Antigua and Barbuda,Antigua and Barbuda,Afghanistan,No authors are based in the georegion,NA,Yes,Yes,DataVerse,Yes,NA,Yes,.csv/.tsv,Yes,4,Some analyses can be repeated but not all (~50% of analyses can be repeated).,No,CC BY-SA,Yes,test,Yes,test,Afghanistan,Yes,NA,Yes,Yes,NA,Yes,DataVerse;Supplementary materials,No,Yes,Maybe if I had the right software,R (including Rmarkdown),.csv/.tsv,Yes,9,10,No,Not an R package,NA,No,No,AGPL,Test,Yes,NA,NA,NA,NA,No,NA,2025-09-25,NA,NA,NA,NA,NA,NA,148
